Shape,Area,Volume,centroid x,centroid y ,centroid z,BB_Height,BB_Width,BB_Depth,low_slice_length,mid_slice_length,upper_slice_length,eccentricity_x,eccentricity_y,eccentricity_z,second_m_of_i_xx,second_m_of_i_yy,second_m_of_i_zy,num_faces,num_edges,num_vertexs,vol_bbvol_ratio
Cone,6826.0281,28274.3341,0.0877,0.0884,7.5,60.0,60.0,30.0,169.646,94.2478,18.8496,0.0,0.0,7.5,3.817e+6,3.817e+6,954258.7702,2,2,2,3.8197
Cone,3033.7903,8377.5805,0.0877,0.0884,5.0,40.0,40.0,20.0,113.0973,62.8319,12.5664,0.0,0.0,5.0,502654.8272,502654.8272,125663.7064,2,2,2,3.8197
Cone,10845.7995,39095.3196,0.0877,0.0884,5.8333,80.0,80.0,23.3333,226.1947,125.6637,25.1327,0.0,0.0,5.8333,9.3829e+6,9.3829e+6,798193.8251,2,2,2,3.8197
Cone,3489.28,3800.9474,0.0877,0.0884,1.6667,46.6666,46.6666,6.6667,131.9467,73.3037,14.6607,0.0,0.0,1.6667,310409.8194,310409.8194,6334.9757,2,2,2,3.8197
Cone,6736.8507,34751.5566,0.0877,0.0884,11.6667,53.3334,53.3334,46.6667,150.7966,83.7759,16.7552,0.0,0.0,11.6667,3.7068e+6,3.7068e+6,2.838e+6,2,2,2,3.8197
Cone,13341.8291,65546.6437,0.0877,0.0884,8.3333,86.6666,86.6666,33.3333,245.044,136.1356,27.2271,0.0,0.0,8.3333,1.8462e+7,1.8462e+7,2.7311e+6,2,2,2,3.8197
Cone,10762.525,61009.018,0.0877,0.0884,10.8333,73.3334,73.3334,43.3333,207.3453,115.1918,23.0384,0.0,0.0,10.8333,1.2304e+7,1.2304e+7,4.296e+6,2,2,2,3.8197
Cone,15542.6307,83620.8597,0.0877,0.0884,9.1667,93.3334,93.3334,36.6667,263.894,146.6078,29.3216,0.0,0.0,9.1667,2.7316e+7,2.7316e+7,4.2159e+6,2,2,2,3.8197
Cone,2519.2141,7757.0597,0.0877,0.0884,6.6667,33.3334,33.3334,26.6667,94.248,52.36,10.472,0.0,0.0,6.6667,323212.1121,323212.1121,206855.4408,2,2,2,3.8197
Cone,1256.6314,1861.6752,0.0877,0.0884,2.5,26.6666,26.6666,10.0,75.398,41.8878,8.3776,0.0,0.0,2.5,49644.4248,49644.4248,6981.2821,2,2,2,3.8197
Cone,988.946,1861.7032,0.0877,0.0884,10.0,13.3334,13.3334,40.0,37.6993,20.9441,4.1888,0.0,0.0,10.0,12411.4785,12411.4785,111702.1893,2,2,2,3.8197
Cone,837.7572,1396.2599,0.0877,0.0884,3.3333,20.0,20.0,13.3333,56.5487,31.4159,6.2832,0.0,0.0,3.3333,20943.8988,20943.8988,9308.3529,2,2,2,3.8197
Cone,15725.397,8726.559,0.0877,0.0884,0.8333,100.0,100.0,3.3333,282.7433,157.0796,31.4159,0.0,0.0,0.8333,3.2725e+6,3.2725e+6,3635.9935,2,2,2,3.8197
Cone,212.8937,193.922,0.0877,0.0884,4.1667,6.6666,6.6666,16.6667,18.8494,10.4719,2.0944,0.0,0.0,4.1667,323.1968,323.1968,2020.0287,2,2,2,3.8197
Cone,9783.5174,58177.5257,0.0877,0.0884,12.5,66.6666,66.6666,50.0,188.4954,104.7196,20.9439,0.0,0.0,12.5,9.6962e+6,9.6962e+6,5.4541e+6,2,2,2,3.8197
Cylinder,9773.8201,74118.0471,0.0877,0.0884,21.6667,46.6666,46.6666,43.3333,146.6074,146.6074,146.6074,0.0,0.0,21.6667,1.0088e+7,1.0088e+7,1.1598e+7,3,3,2,1.2732
Cylinder,12566.377,103672.6522,0.0877,0.0884,18.3334,60.0,60.0,36.6667,188.4956,188.4956,188.4956,0.0,0.0,18.3334,2.3326e+7,2.3326e+7,1.1615e+7,3,3,2,1.2732
Cylinder,558.5109,930.8562,0.0877,0.0884,3.3334,13.3334,13.3334,6.6667,41.8881,41.8881,41.8881,0.0,0.0,3.3334,10342.9505,10342.9505,3447.6502,3,3,2,1.2732
Cylinder,2722.7115,10471.9651,0.0877,0.0884,16.6667,20.0,20.0,33.3333,62.8319,62.8319,62.8319,0.0,0.0,16.6667,261799.1271,261799.1271,969624.4573,3,3,2,1.2732
Cylinder,4188.786,16755.119,0.0877,0.0884,6.6666,40.0,40.0,13.3333,125.6637,125.6637,125.6637,0.0,0.0,6.6666,1.6755e+6,1.6755e+6,248222.7441,3,3,2,1.2732
Cylinder,9075.6961,34906.5154,0.0877,0.0884,5.0,66.6666,66.6666,10.0,209.4393,209.4393,209.4393,0.0,0.0,5.0,9.6962e+6,9.6962e+6,290887.6281,3,3,2,1.2732
Cylinder,21502.4915,182445.5739,0.0877,0.0884,13.3333,93.3334,93.3334,26.6667,293.2155,293.2155,293.2155,0.0,0.0,13.3333,9.9332e+7,9.9332e+7,1.0812e+7,3,3,2,1.2732
