BIN,KWH/M2
1000003,200
1000004,200
1000005,217.6667612
1000006,217.6667612
1000007,179.8116723
1000008,359.6233445
1000009,324.1341987
1000010,200
1000011,200
1000012,324.1341987
1000013,200
1000014,199.6848042
1000016,200
1000017,514.1982908
1000018,179.8116723
1000019,200
1000020,179.8116723
1000021,179.8116723
1000022,179.8116723
1000023,179.8116723
1000024,179.8116723
1000025,179.8116723
1000026,359.6233445
1000027,179.8116723
1000028,324.1341987
1000029,179.8116723
1000030,179.8116723
1000031,324.1341987
1000032,199.6848042
1000034,324.1341987
1000035,324.1341987
1000036,203.4711028
1000037,179.8116723
1000038,179.8116723
1000040,217.6667612
1000041,200
1000042,200
1000043,179.8116723
1000044,179.8116723
1000045,179.8116723
1000047,217.6667612
1000053,217.6667612
1000055,217.6667612
1000057,179.8116723
1000058,179.8116723
1000059,179.8116723
1000060,179.8116723
1000061,217.6667612
1000301,217.6667612
1000436,217.6667612
1000544,217.6667612
1000792,217.6667612
1000793,217.6667612
1000794,217.6667612
1000796,239.9058361
1000797,359.6233445
1000798,199.6848042
1000799,179.8116723
1000800,359.6233445
1000802,179.8116723
1000803,179.8116723
1000804,179.8116723
1000805,324.1341987
1000806,324.1341987
1000807,179.8116723
1000808,179.8116723
1000809,179.8116723
1000810,217.6667612
1000811,179.8116723
1000812,179.8116723
1000813,179.8116723
1000814,179.8116723
1000815,179.8116723
1000816,179.8116723
1000817,179.8116723
1000818,179.8116723
1000819,179.8116723
1000820,179.8116723
1000821,179.8116723
1000823,246.0580778
1000824,217.6667612
1000825,179.8116723
1000826,217.6667612
1000827,217.6667612
1000828,217.6667612
1000829,217.6667612
1000830,217.6667612
1000831,217.6667612
1000832,179.8116723
1000833,179.8116723
1000834,324.1341987
1000835,217.6667612
1000836,324.1341987
1000837,324.1341987
1000838,324.1341987
1000840,324.1341987
1000841,217.6667612
1000842,514.1982908
1000843,179.8116723
1000844,199.6848042
1000845,199.6848042
1000846,199.6848042
1000849,179.8116723
1000850,179.8116723
1000851,141.9565834
1000852,199.6848042
1000854,141.9565834
1000855,179.8116723
1000856,199.6848042
1000857,199.6848042
1000858,179.8116723
1000859,253.155907
1000860,324.1341987
1000862,179.8116723
1000863,179.8116723
1000864,217.6667612
1000865,217.6667612
1000866,200
1000867,179.8116723
1000868,179.8116723
1000871,179.8116723
1000872,253.155907
