Shape,Area,Volume,centroid x,centroid y ,centroid z,BB_Height,BB_With,BB_Depth,low_slice_length,mid_slice_length,upper_slice_length
Cone,4158.75,8181.2309,0.0877,0.0884,3.125,50.0,50.0,12.5,141.3717,78.5398,15.708
Cone,17671.4588,98174.771,0.0877,0.0884,9.375,100.0,100.0,37.5,282.7433,157.0796,31.4159
Cone,11780.9725,73631.0783,0.0877,0.0884,12.5,75.0,75.0,50.0,212.0575,117.8097,23.5619
Cone,1588.5012,4090.6155,0.0877,0.0884,6.25,25.0,25.0,25.0,70.6858,39.2699,7.854
Cylindar,9817.4771,73631.0781,0.0877,0.0884,18.75,50.0,50.0,37.5,157.0796,157.0796,157.0796
Cylindar,20616.7019,220893.2344,0.0877,0.0884,25.0,75.0,75.0,50.0,235.6194,235.6194,235.6194
Cylindar,1963.4954,6135.9232,0.0877,0.0884,6.25,25.0,25.0,12.5,78.5398,78.5398,78.5398
Cylindar,23561.9451,196349.5417,0.0877,0.0884,12.5,100.0,100.0,25.0,314.1593,314.1593,314.1593
Sphere,31415.9266,523598.7756,0.0877,0.0884,0.0,100.0,100.0,100.0,188.4956,314.1593,188.4956
Sphere,17671.4587,220893.2335,0.0877,0.0884,0.0,75.0,75.0,75.0,141.3717,235.6194,141.3717
Sphere,7853.9816,65449.8469,0.0877,0.0884,0.0,50.0,50.0,50.0,94.2478,157.0796,94.2478
Sphere,1963.4954,8181.2309,0.0877,0.0884,0.0,25.0,25.0,25.0,47.1239,78.5398,47.1239
Box,23750.0,187500.0,0.0877,0.0884,0.0,25.0,100.0,75.0,250.0,250.0,250.0
Box,13750.0,93750.0,0.0877,0.0884,0.0,75.0,25.0,50.0,200.0,200.0,200.0
Box,25000.0,250000.0,0.0877,0.0884,0.0,50.0,50.0,100.0,200.0,200.0,200.0
Box,23750.0,187500.0,0.0877,0.0884,0.0,100.0,75.0,25.0,350.0,350.0,350.0
